datetime,machineID,volt,rotate,pressure,vibration,model,age,errorID,failure,comp,risk
31-05-2015 07:00,63,151.1037007,494.3944391,112.7603713,43.55330902,model4,14,,,,Low
14-10-2015 06:00,24,142.0751191,462.9432358,144.0496503,34.79004126,model1,20,,comp3,comp3,High
19-06-2015 01:00,97,125.4603228,484.7418086,133.4715491,34.6880797,model2,14,,,,Low
16-05-2015 06:00,83,163.5593298,389.4551167,116.5955272,56.18379858,model4,18,,comp4,comp4,High
12-12-2015 20:00,71,173.7716342,413.6788724,122.7624986,53.91470993,model2,18,,,,Low
18-08-2015 06:00,95,199.3656677,484.5549852,114.0799224,56.81392797,model2,18,,comp4,comp4,High
31-05-2015 06:00,58,158.0851008,310.2425165,80.52198764,40.14221055,model1,5,,comp2,comp2,High
03-11-2015 06:00,54,167.9621361,462.8189017,103.8238774,28.29350892,model2,10,error2,,,Medium
06-04-2015 06:00,35,198.49535,448.03145,133.9174537,48.19210789,model1,17,,comp3,comp3,High
04-09-2015 06:00,86,213.8474226,433.7350628,92.16713681,41.2698811,model3,2,error1,,,Medium
28-09-2015 12:00,8,165.2842585,486.9373723,121.2995081,42.14814298,model3,16,,,,Low
13-10-2015 06:00,83,195.9144864,472.0450165,98.84376245,44.84247991,model4,18,,comp1,comp1,High
23-07-2015 22:00,6,183.0344552,482.4275202,116.0857193,36.286613,model3,7,,,,Low
05-12-2015 16:00,32,148.2534851,419.1971594,111.7172434,42.97307798,model4,15,,,,Low
27-10-2015 06:00,98,196.1685006,322.7934178,97.17238337,47.92036932,model2,20,,comp2,comp2,High
25-01-2015 05:00,25,152.2661929,408.9785239,104.6973844,32.10703501,model4,16,,,,Low
25-10-2015 22:00,27,179.6179837,480.1883219,107.2887163,41.43633522,model3,9,error4,,,Medium
22-11-2015 10:00,15,191.6729263,459.7686611,112.1609197,35.98238869,model3,14,,,,Low
29-12-2015 06:00,18,181.4068222,425.9539629,102.5824077,48.92728497,model3,15,,,,Low
07-07-2015 15:00,72,206.8203258,479.7863345,98.76014729,38.15965961,model4,2,error1,,,Medium
17-09-2015 06:00,95,166.3145871,453.2280243,119.8245642,35.1471638,model2,18,,comp3,comp3,High
11-05-2015 17:00,45,145.2865764,496.9220232,99.98518295,41.45022005,model3,14,error2,,,Medium
05-07-2015 01:00,59,167.2747206,443.0612178,99.83365617,45.7698028,model3,17,error4,,,Medium
01-11-2015 23:00,28,154.455864,465.4157609,96.58983067,35.35627079,model4,1,,,,Low
02-01-2015 06:00,24,191.8519052,446.4009522,94.01911348,34.34699776,model1,20,,comp1,comp2,High
29-04-2015 03:00,94,170.1564146,419.8752738,72.36772466,34.01435654,model2,18,error1,,,Medium
03-11-2015 06:00,22,166.3190265,456.130993,116.9063855,44.21457636,model1,14,,comp3,comp2,High
08-08-2015 03:00,82,176.9922629,371.785269,105.5480751,35.86705917,model3,11,,,,Low
22-10-2015 23:00,72,171.9335178,466.0607713,85.73548359,45.69116229,model4,2,,,,Low
15-12-2015 03:00,8,167.6527029,542.6041866,93.25309185,48.35793943,model3,16,error2,,,Medium
12-12-2015 06:00,51,156.9647546,283.7143865,108.9133332,46.91494248,model4,19,,comp2,comp4,High
07-12-2015 12:00,31,155.5200556,470.7126862,89.54841207,38.20448829,model1,11,,,,Low
11-08-2015 11:00,67,172.1987089,499.8340944,100.5283627,41.01839243,model4,14,,,,Low
01-05-2015 02:00,19,159.2550438,371.82949,113.489216,52.50843817,model3,17,,,,Low
16-05-2015 06:00,58,202.651117,412.7466799,115.1444946,39.09647707,model1,5,,comp1,comp1,High
03-09-2015 04:00,94,161.0883303,412.5014236,112.8967625,39.80268355,model2,18,,,,Low
13-10-2015 06:00,39,190.8940745,331.8603451,104.5997207,35.95415361,model4,0,,comp2,comp2,High
01-07-2015 19:00,2,179.4955779,475.7071894,96.73765568,38.01931915,model4,7,,,,Low
19-03-2015 08:00,51,160.6591196,490.6316456,90.26159333,32.36745572,model4,19,error2,,,Medium
29-11-2015 06:00,76,165.5395316,466.6335813,137.0909384,42.02715645,model2,10,,comp3,comp3,High
12-09-2015 23:00,63,159.8295693,449.386267,114.3714593,42.04762015,model4,14,error1,,,Medium
11-03-2015 13:00,93,204.1576142,504.2419854,96.57850853,41.96254429,model3,18,,,,Low
24-10-2015 06:00,63,168.0059464,488.5525158,68.50516894,47.96537327,model4,14,error5,,,Medium
09-03-2015 06:00,94,168.5932596,391.2447871,130.7952688,42.61695746,model2,18,,comp3,comp3,High
08-04-2015 21:00,43,176.7739222,447.8195188,103.4889845,39.03877609,model3,14,error2,,,Medium
01-08-2015 01:00,34,176.0434731,448.0993889,109.2316021,37.90121197,model4,10,,,,Low
01-11-2015 21:00,30,159.7919044,493.6127256,90.69734685,39.66173388,model3,20,,,,Low
19-02-2015 16:00,23,161.2166374,405.3156611,93.38080838,49.5426104,model1,17,,,,Low
21-10-2015 06:00,7,182.0630942,304.4540216,101.9734233,48.24268594,model3,20,,comp2,comp4,High
17-07-2015 06:00,96,189.3063475,379.1500138,125.5688279,46.36531941,model2,10,,comp3,comp2,High
19-09-2015 08:00,50,161.4694121,455.9682495,95.67568241,37.36776658,model4,4,,,,Low
13-05-2015 06:00,63,191.348608,432.3235063,98.72622476,63.24601753,model4,14,,comp4,comp4,High
30-09-2015 03:00,42,182.5478981,387.1116,107.1453476,40.40324018,model1,7,,,,Low
17-06-2015 20:00,68,145.7810203,467.5917036,93.88251421,46.81681186,model3,10,,,,Low
12-05-2015 13:00,46,144.6772415,501.7150928,114.7053571,42.84159911,model4,10,error2,,,Medium
08-06-2015 20:00,33,182.6451719,455.5498572,125.6147332,42.60185392,model3,14,,,,Low
08-08-2015 00:00,71,193.8234679,462.4758412,113.8303965,36.90445569,model2,18,error2,,,Medium
02-01-2015 03:00,45,200.8558744,401.8013615,100.21793,57.99716844,model3,14,,comp1,,High
26-11-2015 03:00,13,159.6895764,460.0017431,104.7450996,32.50547357,model1,15,error1,,,Medium
19-01-2015 06:00,23,168.0397477,406.7859031,82.95812678,51.3039876,model1,17,error5,,,Medium
27-03-2015 06:00,71,184.047399,420.8270566,99.02841495,46.00742083,model2,18,,comp1,comp1,High
29-09-2015 18:00,14,168.0428234,408.331373,77.84544455,31.00873984,model3,1,,,,Low
20-01-2015 06:00,64,159.5090855,367.3533623,120.6257665,43.34044275,model3,20,,comp2,comp2,High
19-09-2015 06:00,22,181.0551439,445.435848,93.24949905,33.27708763,model1,14,,comp2,comp2,High
15-09-2015 20:00,60,167.6171136,465.8739115,130.0059417,45.1982463,model4,3,,,,Low
02-01-2015 03:00,56,209.8819197,456.9982106,121.1989375,36.34033074,model1,10,,comp3,,High
11-02-2015 20:00,43,140.3445549,452.6567023,112.5058576,45.01311415,model3,14,,,,Low
12-08-2015 21:00,43,171.3078681,358.7907316,87.30568551,42.33782805,model3,14,,,,Low
28-01-2015 06:00,62,166.1175827,507.7899214,115.4661878,42.82741627,model4,20,,comp4,comp4,High
31-12-2015 06:00,95,184.9698076,507.1914494,122.9836166,50.22488869,model2,18,,comp1,comp1,High
03-03-2015 06:00,81,161.1635508,391.2810898,91.03445298,46.37197966,model4,1,,comp2,comp2,High
18-08-2015 16:00,1,183.0767335,467.8479831,106.2841179,28.36165791,model3,18,,,,Low
13-05-2015 06:00,53,167.2068564,418.1248619,111.3319381,35.9840186,model3,5,,comp2,comp3,High
